C002-13 Split A Run 1 abs. SM5420C-030-A  Sensor ID 1 Socket No. 1.txt																																																							
C002-13	A	abs. 	1	SM5420C-030-A		1	1	4	125.0	0	0.50	0	5.000	40000	124.56	125.03	126.57	124.900	124.520	124.540	124.410	124.420	124.810	124.500	124.410	5.000665	15.752	floating	N/A	A	0.499950	-0.000150	disabled	0.000000	0.000000	14.78750	-11.24570	N/A	N/A	0.00430	-11.25183	-11.23881	0.01302	2.497706	2.492060	2.503351	0.79608	6281.627	0	0	0	0	0	2/5/2013	9:13:13 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	4	125.0	1	15.00	0	5.000	40100	124.78	125.00	126.65	125.080	124.780	124.720	124.670	124.600	125.060	124.670	124.660	5.000682	15.736	floating	N/A	A	14.999300	-0.000106	disabled	0.000000	0.000000	14.78800	25.39757	N/A	N/A	0.00489	25.38726	25.40506	0.01780	2.499032	2.511712	2.486353	0.79533	6287.588	0	0	0	0	0	2/5/2013	9:30:43 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	4	125.0	2	30.00	0	5.000	40200	124.85	125.00	126.65	125.150	124.850	124.770	124.750	124.660	125.150	124.730	124.730	5.000677	15.725	floating	N/A	A	29.999300	0.000428	disabled	0.000000	0.000000	14.78860	63.39413	N/A	N/A	0.00547	63.38460	63.40145	0.01685	2.499098	2.530779	2.467418	0.79467	6292.756	0	0	0	0	0	2/5/2013	9:45:31 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	4	125.0	3	30.00	0	5.000	40300	124.77	125.00	126.59	125.070	124.770	124.710	124.660	124.590	125.060	124.670	124.650	5.000676	15.729	floating	N/A	A	29.999600	0.000285	disabled	0.000000	0.000000	14.78800	63.39518	N/A	N/A	0.00294	63.38985	63.39995	0.01010	2.498672	2.530348	2.466996	0.79463	6293.093	0	0	0	0	0	2/5/2013	9:56:01 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	4	125.0	4	15.00	0	5.000	40400	124.62	125.00	126.57	124.940	124.590	124.580	124.480	124.460	124.870	124.540	124.470	5.000667	15.743	floating	N/A	A	15.000400	-0.000172	disabled	0.000000	0.000000	14.78960	25.40057	N/A	N/A	0.00679	25.38856	25.41211	0.02355	2.497479	2.510156	2.484801	0.79507	6289.598	0	0	0	0	0	2/5/2013	10:12:28 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	4	125.0	5	0.50	0	5.000	40500	124.55	125.03	126.62	124.890	124.510	124.520	124.400	124.410	124.800	124.490	124.400	5.000661	15.750	floating	N/A	A	0.499965	-0.000286	disabled	0.000000	0.000000	14.79070	-11.25989	N/A	N/A	0.00420	-11.26663	-11.25155	0.01508	2.496147	2.490500	2.501795	0.79512	6289.154	0	0	0	0	0	2/5/2013	10:27:50 AM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	5	100.0	0	0.50	0	5.000	50000	99.93	100.01	101.09	100.200	99.920	99.850	99.830	99.790	100.160	99.860	99.810	5.000667	16.812	floating	N/A	A	0.500006	-0.000232	disabled	0.000000	0.000000	14.77630	-11.74673	N/A	N/A	0.01930	-11.77501	-11.71011	0.06491	2.500778	2.494871	2.506685	0.85037	5880.606	0	0	0	0	0	2/5/2013	12:26:19 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	5	100.0	1	15.00	0	5.000	50100	100.14	99.98	101.04	100.380	100.170	100.030	100.070	99.960	100.400	100.030	100.050	5.000679	16.796	floating	N/A	A	15.000000	0.000195	disabled	0.000000	0.000000	14.77370	26.65525	N/A	N/A	0.00808	26.64116	26.66586	0.02470	2.501846	2.515144	2.488548	0.84957	5886.157	0	0	0	0	0	2/5/2013	12:43:03 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	5	100.0	2	30.00	0	5.000	50200	100.20	100.01	100.94	100.440	100.230	100.070	100.150	100.010	100.470	100.090	100.110	5.000664	16.785	floating	N/A	A	29.999800	-0.000144	disabled	0.000000	0.000000	14.77130	66.43579	N/A	N/A	0.01571	66.40786	66.45840	0.05054	2.502503	2.535699	2.469307	0.84900	5890.081	0	0	0	0	0	2/5/2013	12:57:57 PM
C002-13	A	abs. 	1	SM5420C-030-A		1	1	5	100.0	3	30.00	0	5.000	50300	100.10	99.98	100.96	100.350	100.120	99.990	100.040	99.930	100.370	100.010	100.010	5.000673	16.789	floating	N/A	A	30.000400	0.000073	disabled	0.000000	0.000000	14.76970	66.45651	N/A	N/A	0.01976	66.42255	66.48277	0.06022	2.502516	2.535702	2.469330	0.84930	5887.964	0	0	0	0	0	2/5/2013	1:08:27 PM
